country,iso,year,upop,upop%,rpop,rpop%,total_pop,upopw,urban_water_imp_per,rpopw,rural_water_imp_per,tpopw,total_water_imp_per,upopnw%,rpopnw%,tpopnw%,region
Isle of Man,IMN,2010,41.9,50.6,40.9,49.4,82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Developed Regions
Isle of Man,IMN,2015,42.7,50.4,42.1,49.6,84.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Developed Regions
Israel,ISR,1990,4065.4,90.4,433.7,9.6,4499.2,4065.4,100,433.7,100,4499.2,100,0,0,0,Developed Regions
Israel,ISR,1995,4844.6,90.9,487,9.1,5331.6,4844.6,100,487,100,5331.6,100,0,0,0,Developed Regions
Israel,ISR,2010,6813.7,91.8,606.7,8.2,7420.4,6813.7,100,606.7,100,7420.4,100,0,0,0,Developed Regions
Israel,ISR,2015,7297,92.1,622.5,7.9,7919.5,7297,100,622.5,100,7919.5,100,0,0,0,Developed Regions
Israel,ISR,2000,5484.7,91.2,529,8.8,6013.7,5484.7,100,529,100,6013.7,100,0,0,0,Developed Regions
Israel,ISR,2005,6043.6,91.5,560.1,8.5,6603.7,6043.6,100,560.1,100,6603.7,100,0,0,0,Developed Regions
Italy,ITA,1990,37921.7,66.7,18910.1,33.3,56831.9,37921.7,100,18910.1,100,56831.9,100,0,0,0,Developed Regions
Italy,ITA,1995,38123.7,66.9,18843.4,33.1,56967.1,38123.7,100,18843.4,100,56967.1,100,0,0,0,Developed Regions
Italy,ITA,2010,41343.7,68.3,19165.3,31.7,60509,41343.7,100,19165.3,100,60509,100,0,0,0,Developed Regions
Italy,ITA,2015,42166.1,69,18976.2,31,61142.2,42166.1,100,18976.2,100,61142.2,100,0,0,0,Developed Regions
Italy,ITA,2000,38307.2,67.2,18678.9,32.8,56986.1,38307.2,100,18678.9,100,56986.1,100,0,0,0,Developed Regions
Italy,ITA,2005,39743.3,67.7,18928.6,32.3,58671.9,39743.3,100,18928.6,100,58671.9,100,0,0,0,Developed Regions
Jamaica,JAM,1995,1246.2,50.6,1215.9,49.4,2462.1,1219.3,97.8,1078.1,88.7,2297.3,93.3,2.2,11.3,6.7,Latin America and the Caribbean
Jamaica,JAM,2000,1338,51.8,1244.3,48.2,2582.2,1307.8,97.7,1105.8,88.9,2413.6,93.5,2.3,11.1,6.5,Latin America and the Caribbean
Jamaica,JAM,2005,1416.5,52.8,1265.7,47.2,2682.1,1383.1,97.6,1127.6,89.1,2510.7,93.6,2.4,10.9,6.4,Latin America and the Caribbean
Jamaica,JAM,1990,1169.4,49.4,1195.8,50.6,2365.2,1145.3,97.9,1057.7,88.5,2203,93.1,2.1,11.5,6.9,Latin America and the Caribbean
Jamaica,JAM,2015,1541.3,54.8,1271.9,45.2,2813.3,1502.6,97.5,1137.4,89.4,2640.1,93.8,2.5,10.6,6.2,Latin America and the Caribbean
Jamaica,JAM,2010,1473.4,53.7,1268.1,46.3,2741.5,1437.2,97.5,1132.4,89.3,2569.6,93.7,2.5,10.7,6.3,Latin America and the Caribbean
Japan,JPN,1995,97117,78,27366.3,22,124483.3,97117,100,27366.3,100,124483.3,100,0,0,0,Developed Regions
Japan,JPN,2000,98872.9,78.6,26841.8,21.4,125714.7,98872.9,100,26841.8,100,125714.7,100,0,0,0,Developed Regions
Japan,JPN,1990,94545.8,77.3,27703.5,22.7,122249.3,94545.8,100,27703.5,100,122249.3,100,0,0,0,Developed Regions
Japan,JPN,2015,118572.5,93.5,8245.6,6.5,126818,118572.5,100,8245.6,100,126818,100,0,0,0,Developed Regions
Japan,JPN,2005,109174,86,17804.8,14,126978.8,109174,100,17804.8,100,126978.8,100,0,0,0,Developed Regions
Japan,JPN,2010,115282.5,90.5,12070.3,9.5,127352.8,115282.5,100,12070.3,100,127352.8,100,0,0,0,Developed Regions
Jordan,JOR,1990,2461.5,73.3,897,26.7,3358.5,2424.6,98.5,808.8,90.2,3233.3,96.3,1.5,9.8,3.7,Western Asia
Jordan,JOR,2000,3804.8,79.8,962.7,20.2,4767.5,3737.3,98.2,876.4,91,4613.8,96.8,1.8,9,3.2,Western Asia
Jordan,JOR,2005,4253.2,81.2,986.2,18.8,5239.4,4171.9,98.1,902.2,91.5,5074.2,96.8,1.9,8.5,3.2,Western Asia
Jordan,JOR,2010,5323.3,82.5,1131.3,17.5,6454.6,5214.3,98,1039.9,91.9,6254.2,96.9,2,8.1,3.1,Western Asia
Jordan,JOR,1995,3385.5,78.4,934.7,21.6,4320.2,3330.1,98.4,846.8,90.6,4176.9,96.7,1.6,9.4,3.3,Western Asia
